Date,Open,High,Low,Close,Volume,Adj Close
2010-08-11,23.16999,23.24999,22.27002,22.36003,3956300,27.42207
2010-08-12,22.16999,22.35502,21.72001,22.11502,3702000,27.12159
2010-08-13,22.43503,22.50002,21.66002,21.97503,2613300,26.94991
2010-08-16,21.93999,22.06497,21.72001,22.00498,1847800,26.98664
2010-08-17,22.07998,22.47999,22.04002,22.38998,1761300,27.4588
2010-08-18,22.25,22.56,22.05503,22.28996,1028600,27.33613
2010-08-19,22.60004,22.87,22.37997,22.56,3146400,27.66731
2010-08-20,22.70999,22.74002,21.90496,22.11001,2610800,27.11545
2010-08-23,22.25,22.28003,21.73002,21.81002,1953200,26.74754
2010-08-24,21.66002,21.69999,20.65001,20.94,4449500,25.68055
2010-08-25,20.83497,21.12002,20.57001,20.89002,1977000,25.61927
2010-08-26,21.19002,21.29997,20.89002,21.025,1952900,25.78481
2010-08-27,20.79,20.84498,19.77999,20.20503,6020700,24.7792
2010-08-30,20.405,20.46498,20.13003,20.29004,1273800,24.88346
2010-08-31,19.58002,19.87,19.35002,19.67504,3171600,24.12923
2010-09-01,19.67003,20.44997,19.34001,20.39999,3316800,25.0183
2010-09-02,20.36003,20.70499,20.21997,20.60997,1837300,25.27582
2010-09-03,20.80001,21.07498,20.53498,20.80001,2626100,25.50888
2010-09-06,20.99998,21.14998,20.82003,20.99998,1322600,25.75412
2010-09-07,20.98504,20.98997,20.27002,20.59496,3459800,25.25741
2010-09-08,20.14998,20.49001,19.98997,20.45497,3095000,25.08573
2010-09-09,20.54999,21.16499,20.42002,21.04002,2307700,25.80322
2010-09-10,20.82503,21.13003,20.81502,20.85499,1918200,25.5763
2010-09-13,21.05003,21.48,20.90003,21.405,1956800,26.25083
2010-09-14,21.56,21.76497,21.31499,21.66002,2508700,26.56359
2010-09-15,21.74503,21.75997,21.41,21.52496,1840900,26.39795
2010-09-16,21.49001,21.58502,21.33501,21.48,1033000,26.3428
2010-09-17,21.74996,21.87501,21.66002,21.80001,3876000,26.73526
2010-09-20,21.99998,22.13496,21.90003,22.10501,2154400,27.10931
2010-09-21,22.1,22.67003,22.07498,22.15498,2794300,27.17059
2010-09-22,22.20002,22.21003,21.34001,21.38498,2461500,26.22628
2010-09-23,21.60004,21.61998,21.06004,21.38998,1798400,26.23241
2010-09-24,21.26001,21.82003,21.01499,21.72001,1814900,26.63715
2010-09-27,21.83497,22.11502,21.55499,21.60004,1287900,26.49002
2010-09-28,21.62999,22.00999,21.42001,21.92998,1632300,26.89466
2010-09-29,22.18,22.41501,22.14997,22.30497,2429700,27.35455
2010-09-30,22.24499,22.46999,21.85999,21.90996,1978000,26.87011
2010-10-01,21.96502,22.03001,21.58002,21.68998,1801600,26.60032
2010-10-04,21.74996,22.42001,21.44504,21.85499,2737400,26.80269
2010-10-05,21.80001,21.97503,21.52997,21.83004,2459100,26.77209
2010-10-06,22.025,22.1,21.28003,21.43503,2255900,26.28766
2010-10-07,21.05003,21.30998,20.79,21.25,3112700,26.06074
2010-10-08,20.945,21.46498,20.79,21.06497,3274400,25.83382
2010-10-11,21.15998,21.61998,21.13996,21.55499,1641400,26.43478
2010-10-12,21.19002,22.22497,21.13496,22.08499,2670600,27.08476
2010-10-13,22.50002,23.565,22.25,23.18,4878000,28.42767
2010-10-14,23.14997,23.34501,22.85499,23.00498,3170700,28.21303
2010-10-15,23.26501,23.37997,23.1,23.36503,1929600,28.65459
2010-10-18,23.36503,23.72,23.12002,23.565,1601900,28.89983
2010-10-19,23.29997,23.81002,23.29997,23.44996,2625100,28.75875
2010-10-20,23.30497,23.52504,23.21003,23.50001,1465900,28.82013
2010-10-21,23.255,23.37997,22.945,23.02,3128100,28.23144
2010-10-22,22.86499,23.175,22.85999,23.13503,1508000,28.37252
2010-10-25,23.26501,23.80001,23.26501,23.64,1130300,28.99181
2010-10-26,23.50001,23.70999,23.26001,23.61998,1698000,28.96726
2010-10-27,23.75003,24.24999,23.65001,24.08498,2343800,29.53753
2010-10-28,24.38498,24.85999,23.77498,23.89502,3277400,29.30457
2010-10-29,23.65001,23.90003,23.41501,23.70999,1416400,29.07765
2010-11-01,24.00999,24.18501,23.83997,24.04002,1018700,29.48238
2010-11-02,23.82003,24.18,23.58502,24.13003,1305300,29.59277
2010-11-03,24.23998,24.35502,23.80001,23.85498,1380900,29.25546
2010-11-04,24.33,24.36003,23.80001,24.24499,1954700,29.73376
2010-11-05,24.45997,24.57001,24.18,24.26501,1435300,29.75831
2010-11-08,24.35002,24.35002,23.89002,24.05996,1478400,29.50684
2010-11-09,23.92498,24.67996,23.91997,24.60997,1640300,30.18137
2010-11-10,24.54999,24.54999,23.91497,23.92498,1625500,29.3413
2010-11-11,23.95,24.03501,23.03501,23.50001,2733600,28.82013
2010-11-12,23.07497,23.77999,23.07497,23.61998,1406200,28.96726
2010-11-15,23.60997,23.84998,23.37997,23.73001,989700,29.1022
2010-11-16,23.63499,23.96502,23.50001,23.60497,1739500,28.94884
2010-11-17,23.54498,23.75504,23.43503,23.64,1094600,28.99181
2010-11-18,23.90003,24.29504,23.75003,24.12002,1868500,29.5805
2010-11-19,24.36003,24.79,24.29997,24.79,2142200,30.40215
2010-11-22,25.27001,25.49501,25.04001,25.27502,2185700,30.99697
2010-11-23,25.35002,25.51002,24.99004,25.23498,2227900,30.94787
2010-11-24,25.12502,25.62999,24.56,25.56,1898300,31.34647
2010-11-25,25.58001,26.415,25.54999,26.415,1762800,32.39504
2010-11-26,26.28002,26.50001,25.69998,26.08498,1994500,31.9903
2010-11-29,26.15497,26.36503,25.14997,25.14997,1673100,30.84362
2010-11-30,25.05503,25.21496,24.58002,24.91997,2708800,30.56155
2010-12-01,25.32499,26.21003,25.22497,26.14997,2647900,32.07
2010-12-02,25.99997,26.29496,25.75003,26.28002,2045800,32.2295
2010-12-03,26.28002,26.53497,26.1,26.485,1365600,32.48088
2010-12-06,26.54498,27.07998,26.34501,26.34501,1669600,32.3092
2010-12-07,26.34001,26.52003,26.16498,26.18,1406600,32.10683
2010-12-08,26.12502,26.34501,26.08999,26.29997,1093700,32.25396
2010-12-09,27.875,28.8,27.64,28.39999,6607300,34.82939
2010-12-10,28.30004,28.62498,27.77998,28.38997,2458800,34.81712
2010-12-13,28.21003,28.43002,27.85498,27.85498,1454300,34.16101
2010-12-14,27.90996,28.13996,27.57,27.63499,1285000,33.89121
2010-12-15,27.69497,27.93999,27.49501,27.75496,1049400,34.03834
2010-12-16,27.645,28.06003,27.55499,28.05503,942400,34.40634
2010-12-17,28.20002,28.795,27.93498,28.795,2105900,35.31383
2010-12-20,28.99997,29.07997,28.63499,28.93999,1467000,35.49165
2010-12-21,29.12001,29.14997,28.83504,28.89001,726100,35.43036
2010-12-22,29.01999,29.34501,28.90003,29.15497,789900,35.7553
2010-12-23,29.07997,29.14997,28.76497,28.89502,637300,35.4365
2010-12-24,28.90003,28.98996,28.81502,28.85998,47000,35.39353
2010-12-27,28.8,29.06003,28.77998,29.05502,375000,35.63273
2010-12-28,29.14504,29.51502,29.06003,29.26,400500,35.88411
2010-12-29,29.20002,29.24999,28.78499,28.85998,687300,35.39353
2010-12-30,28.93999,29.16999,28.85498,29.00498,456300,35.57135
2010-12-31,29.05002,29.24999,28.84004,28.90003,179100,35.44264
2011-01-03,28.84004,29.30497,28.8,29.22997,1167200,35.84728
2011-01-04,28.95,29.03,28.27501,28.30004,1823300,34.70682
2011-01-05,27.99997,28.06504,27.43002,27.75003,2738000,34.0323
2011-01-06,27.8,28.04001,27.50501,27.65501,2083600,33.91577
2011-01-07,27.88001,28.14997,27.62498,27.92998,1197100,34.25299
2011-01-10,27.80501,27.84998,27.21503,27.34501,1445500,33.53559
2011-01-11,27.75003,28.47999,27.68997,28.45997,1961200,34.90296
2011-01-12,28.40499,28.81502,28.13996,28.71499,1428300,35.21572
2011-01-13,28.51002,28.62999,27.90503,28.14496,1823700,34.51664
2011-01-14,28.69497,30.105,28.43502,29.95,6362900,36.73031
2011-01-17,30.31998,30.50001,29.77498,29.88501,2571600,36.65061
2011-01-18,29.90002,30.25499,29.88,29.95,2113600,36.73031
2011-01-19,29.99997,30.44003,27.84998,27.90002,6670200,34.21625
2011-01-20,27.65001,27.96001,26.87,27.96001,7902800,34.28981
2011-01-21,28.78999,28.97502,28.415,28.89502,4051800,35.4365
2011-01-24,28.58502,28.65001,27.89502,28.51002,2727600,34.96434
2011-01-25,29.15997,29.93999,29.00998,29.70999,4676900,36.43597
2011-01-26,29.99504,30.43001,29.84997,30.30004,2673000,37.1596
2011-01-27,30.20001,31.14504,30.05002,31.07997,3516700,38.1161
2011-01-28,31.01999,31.39498,30.62498,30.78999,2164800,37.76047
2011-01-31,30.90002,30.95,30.12502,30.50001,3342700,37.40484
2011-02-01,30.84997,31.93998,30.565,31.70999,2676200,38.88874
2011-02-02,31.69998,31.94499,31.31998,31.71499,1684700,38.89488
2011-02-03,31.44002,31.805,31.11,31.34,1616800,38.43499
2011-02-04,31.45003,31.92004,31.35001,31.805,1635100,39.00527
2011-02-07,31.8,32.66001,31.75002,32.65,1957400,40.04156
2011-02-08,32.30004,32.42501,31.68003,31.70999,2427700,38.88874
2011-02-09,31.84004,31.94999,31.40499,31.56499,1727700,38.71092
2011-02-10,31.28502,31.59503,30.59002,31.34501,1929600,38.44113
2011-02-11,31.06003,32.02499,30.99504,31.84997,1906300,39.06042
2011-02-14,32.27001,32.69497,32.00497,32.59002,1834000,39.968
2011-02-15,32.55999,32.68504,31.96,32.14496,1299600,39.42218
2011-02-16,32.35501,32.92497,32.32999,32.805,1517400,40.23165
2011-02-17,32.84997,32.85498,32.39998,32.70998,1079800,40.11512
2011-02-18,32.89501,32.92004,32.44002,32.71499,1252800,40.12126
2011-02-21,32.92997,32.94999,32.05502,32.14496,1289200,39.42218
2011-02-22,31.88501,32.50001,31.29996,32.15497,2014800,39.43446
2011-02-23,31.84997,31.90002,31.14504,31.335,2390600,38.42886
2011-02-24,31.92997,31.93498,30.66502,31.09999,2428300,38.14065
2011-02-25,31.44002,31.70498,31.20001,31.46497,1333300,38.58826
2011-02-28,31.49,32.00998,31.32499,31.45504,1651100,38.57607
2011-03-01,31.90002,32.29503,31.46497,31.65501,1854900,38.82132
2011-03-02,31.44002,32.01999,31.06003,31.88,1752300,39.09724
2011-03-03,32.09999,32.83996,32.06503,32.71999,2122700,40.1274
2011-03-04,32.70498,32.90502,32.24498,32.63999,1836300,40.02929
2011-03-07,32.40999,32.45003,31.75002,31.75002,1767000,38.93784
2011-03-08,31.60003,31.86499,31.105,31.54998,2288700,38.69251
2011-03-09,31.53004,31.79499,31.07497,31.15004,1861400,38.20203
2011-03-10,30.51002,30.51002,29.46497,29.63999,4992900,36.35013
2011-03-11,29.29496,29.38998,28.90996,29.38998,2421700,36.04351
2011-03-14,29.50001,29.97002,29.23998,29.73001,2578300,36.46052
2011-03-15,28.86999,29.26,28.21503,29.04001,3972000,35.61431
2011-03-16,29.36002,29.55499,28.50001,28.57,2700300,35.0379
2011-03-17,28.66502,29.35001,28.50001,29.35001,2618800,35.9945
2011-03-18,29.52003,29.75996,28.76497,28.76997,3265500,35.28314
2011-03-21,29.30497,29.97502,29.12502,29.54497,2015400,36.2336
2011-03-22,29.74002,30.15497,29.15997,29.44996,1839300,36.11707
2011-03-23,29.20502,30.22504,29.20502,30.21503,1845400,37.05534
2011-03-24,30.20001,30.68003,30.00998,30.44996,1844000,37.34345
2011-03-25,30.61997,30.84997,30.03,30.74502,1512000,37.70532
2011-03-28,30.65,30.95,30.52996,30.805,1029100,37.77888
2011-03-29,30.89502,30.90002,30.06496,30.75503,1988500,37.7176
2011-03-30,30.99997,31.78999,30.90002,31.45003,2173800,38.56994
2011-03-31,31.32999,31.55498,31.06003,31.09999,1482800,38.14065
2011-04-01,31.37003,31.42501,30.98503,31.42501,1358000,38.53925
2011-04-04,31.27001,31.55498,30.98002,31.15497,1144900,38.20807
2011-04-05,31.39998,31.53504,31.14003,31.31998,1246400,38.41044
2011-04-06,31.44002,31.45003,30.51502,30.59502,2217900,37.52136
2011-04-07,30.61997,30.83996,29.77998,29.84997,2178700,36.60764
2011-04-08,30.09999,30.29003,29.30997,29.42001,2150700,36.08034
2011-04-11,29.50001,29.91504,29.42501,29.84497,1724500,36.60151
2011-04-12,29.50001,29.66502,29.20502,29.415,2709500,36.0742
2011-04-13,28.96001,29.32999,28.09999,28.29003,5849700,34.69455
2011-04-14,27.50001,27.83997,27.19501,27.46998,5345100,33.68885
2011-04-15,27.415,28.12502,27.415,27.8,3413200,34.09358
2011-04-18,27.75003,28.09499,26.99997,27.16999,2908800,33.32094
2011-04-19,27.09499,27.36503,26.73001,26.75003,2571800,32.80591
2011-04-20,27.8,28.89502,27.69998,28.16999,4978100,34.54733
2011-04-21,28.90996,28.99497,27.75003,27.99497,3015700,34.33269
2011-04-26,27.60504,28.34501,27.415,28.32999,2070700,35.07153
2011-04-27,28.24499,28.52996,27.76497,28.24999,2099200,34.9725
2011-04-28,28.58001,28.8,28.32499,28.32499,2481100,35.06534
2011-04-29,28.105,28.28002,27.84998,27.955,2040500,34.60731
2011-05-02,28.36503,28.63499,27.91997,27.95,1451400,34.60111
2011-05-03,27.75003,28.19001,27.65001,27.92497,2387100,34.57014
2011-05-04,28.00998,28.66502,27.955,28.06504,3155400,34.74353
2011-05-05,27.97002,28.53997,27.955,28.26501,2337800,34.99109
2011-05-06,28.29496,28.45504,27.76997,28.31998,3123800,35.05915
2011-05-09,28.32999,28.74502,28.30004,28.64,1886400,35.45531
2011-05-10,28.63499,29.14997,28.55999,28.97002,1766800,35.86387
2011-05-11,28.90003,29.16999,27.89502,27.98003,5278200,34.63829
2011-05-12,27.88001,28.41,27.72,28.41,2034500,35.17058
2011-05-13,28.50001,28.57501,27.96001,28.04502,1790800,34.71874
2011-05-16,27.99997,28.55999,27.93498,28.50001,2440400,35.28201
2011-05-17,28.03,28.07497,27.75003,27.80501,2695300,34.42162
2011-05-18,27.99997,28.255,27.92497,28.15998,1575200,34.86106
2011-05-19,28.24499,28.335,27.8,27.99997,1840000,34.66298
2011-05-20,28.09999,28.21996,27.75496,27.95,1734000,34.60111
2011-05-23,27.50001,27.60003,27.22997,27.26,1969500,33.74692
2011-05-24,26.90003,27.32499,26.74002,26.80501,3251500,33.18366
2011-05-25,26.54998,27.1,26.39498,26.95,2360000,33.36315
2011-05-26,27.04502,27.1,26.52504,26.70999,2302200,33.06603
2011-05-27,26.90003,26.95,26.67003,26.67503,2069200,33.02275
2011-05-30,26.75003,26.875,26.67003,26.875,637900,33.27031
2011-05-31,27.03,27.35001,26.86499,27.00498,2067600,33.43121
